Species,Latitude,Longitude
Tremarctos ornatus,6.003,-73.15
Tremarctos ornatus,1.6183,-76.0852
Tremarctos ornatus,1.5905,-76.1074
Tremarctos ornatus,1.5825,-76.8814
Tremarctos ornatus,1.5123,-76.9385
Tremarctos ornatus,3.601306,-75.913944
Tremarctos ornatus,3.571667,-75.974139
Tremarctos ornatus,3.570944,-75.973194
Tremarctos ornatus,3.570944,-75.9741
Tremarctos ornatus,3.584194,-75.955722
Tremarctos ornatus,3.593861,-75.939694
Tremarctos ornatus,3.570806,-75.957722
Tremarctos ornatus,3.599417,-75.912889
Tremarctos ornatus,3.572417,-75.969528
Tremarctos ornatus,1.6905,-76.8113
Tremarctos ornatus,5.535894,-75.889941
Tremarctos ornatus,1.937145,-76.018031
Tremarctos ornatus,3.812444,-75.833556
Tremarctos ornatus,3.884667,-75.832889
Tremarctos ornatus,3.84175,-75.857889
Tremarctos ornatus,3.823361,-75.857389
Tremarctos ornatus,3.888889,-75.833667
Tremarctos ornatus,3.892167,-75.832306
Tremarctos ornatus,3.829778,-75.855639
Tremarctos ornatus,3.829472,-75.852333
Tremarctos ornatus,3.801611,-75.839639
Tremarctos ornatus,3.797722,-75.840028
Tremarctos ornatus,3.84942,-75.8529
Tremarctos ornatus,3.878556,-75.833389
Tremarctos ornatus,4.761162,-73.987053
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,7.082879,-75.209787
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.713389,-76.227528
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,1.71725,-76.224194
Tremarctos ornatus,3.734833,-75.779389
Tremarctos ornatus,3.729639,-75.779139
Tremarctos ornatus,3.464944,-76.054722
Tremarctos ornatus,3.634833,-75.960361
Tremarctos ornatus,3.463611,-76.051389
Tremarctos ornatus,3.636611,-75.955561
Tremarctos ornatus,3.737861,-75.780056
Tremarctos ornatus,3.719472,-75.898806
Tremarctos ornatus,3.638361,-76.017667
Tremarctos ornatus,3.630806,-76.0025
Tremarctos ornatus,3.451917,-76.057833
Tremarctos ornatus,3.466889,-76.04625
Tremarctos ornatus,3.730333,-75.775389
Tremarctos ornatus,3.717333,-75.8885
Tremarctos ornatus,3.724917,-75.788028
Tremarctos ornatus,3.630306,-76.012333
Tremarctos ornatus,3.715167,-75.896389
Tremarctos ornatus,3.637139,-76.009806
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
Tremarctos ornatus,4.9144,-73.7279
